AVG_TTR,MIN_AVG_TTR,Status,
13892,1594,OVERLOADED,
1576,1585,FREE,
8951,11482,OVERLOADED,
8951,11482,OVERLOADED,
1497,1367,FREE,
1406,1649,FREE,
2467,2144,FREE,
8744,15192,OVERLOADED,
8744,15192,OVERLOADED,
4978,11133,OVERLOADED,
4978,11133,OVERLOADED,
4407,7596,OVERLOADED,
4407,7596,OVERLOADED,
2145,5901,BUSY,
2145,5901,BUSY,
2155,5842,BUSY,
2155,5842,BUSY,
2151,6792,BUSY,
2151,6792,BUSY,
6508,2143,BUSY,
6508,2143,BUSY,
5977,2005,BUSY,
5977,2005,BUSY,
6034,2087,BUSY,
6034,2087,BUSY,
6383,2398,BUSY,
6383,2398,BUSY,
6692,2105,BUSY,
6692,2105,BUSY,
4432,6439,BUSY,
4432,6439,BUSY,
7275,13063,OVERLOADED,
7275,13063,OVERLOADED,
2617,2069,FREE,
2188,2082,FREE,
2196,6348,BUSY,
2196,6348,BUSY,
2147,6446,BUSY,
2147,6446,BUSY,
5357,4889,BUSY,
5357,4889,BUSY,
8573,3345,OVERLOADED,
8573,3345,OVERLOADED,
4946,2136,BUSY,
4946,2136,BUSY,
6108,7715,OVERLOADED,
6108,7715,OVERLOADED,
4032,2901,BUSY,
4032,2901,BUSY,
2197,5203,BUSY,
2197,5203,BUSY,
4680,2266,BUSY,
4680,2266,BUSY,
5058,2598,BUSY,
5058,2598,BUSY,
5100,4179,BUSY,
5100,4179,BUSY,
2345,4050,BUSY,
2345,4050,BUSY,
6313,8019,OVERLOADED,
6313,8019,OVERLOADED,
8471,2582,OVERLOADED,
8471,2582,OVERLOADED,
2211,2253,FREE,
8638,2206,OVERLOADED,
8638,2206,OVERLOADED,
6344,2917,OVERLOADED,
6344,2917,OVERLOADED,
6278,2733,OVERLOADED,
6278,2733,OVERLOADED,
2250,2514,FREE,
7148,6375,OVERLOADED,
7148,6375,OVERLOADED,
5845,9069,OVERLOADED,
5845,9069,OVERLOADED,
5441,9138,OVERLOADED,
5441,9138,OVERLOADED,
5912,1902,OVERLOADED,
5912,1902,OVERLOADED,
5706,1521,BUSY,
5706,1521,BUSY,
7529,1972,OVERLOADED,
7529,1972,OVERLOADED,
7471,1666,OVERLOADED,
7471,1666,OVERLOADED,
1777,1260,FREE,
1447,1687,FREE,
1637,1815,FREE,
1676,1686,FREE,
1684,1405,FREE,
1520,1527,FREE,
1467,1683,FREE,
8994,1641,BUSY,
8994,1641,BUSY,
1655,1830,FREE,
1687,1723,FREE,
1747,1390,FREE,
1767,1708,FREE,
1681,1684,FREE,
1699,1414,FREE,
1509,1768,FREE,
1515,1650,FREE,
1718,1644,FREE,
1717,1711,FREE,
1717,1557,FREE,
